fecha,isla,turistas
2022-05-01,La Palma,12416.0
2022-06-01,La Palma,10816.0
2022-07-01,La Palma,14291.0
2022-08-01,La Palma,16788.0
2022-09-01,La Palma,13746.0
2022-10-01,La Palma,13860.0
2022-11-01,La Palma,14601.0
2022-12-01,La Palma,12726.0
2023-01-01,La Palma,13636.0
2023-02-01,La Palma,10496.0
2023-03-01,La Palma,14046.0
2023-04-01,La Palma,11179.0
2023-05-01,La Palma,7711.0
2023-06-01,La Palma,8471.0
2023-07-01,La Palma,11748.0
2023-08-01,La Palma,12806.0
2023-09-01,La Palma,11839.0
2023-10-01,La Palma,10791.0
2023-11-01,La Palma,17541.0
2023-12-01,La Palma,18456.0
2024-01-01,La Palma,19320.0
2024-02-01,La Palma,15562.0
2024-03-01,La Palma,19366.0
2024-04-01,La Palma,13633.0
2024-05-01,La Palma,10121.0
2024-06-01,La Palma,8896.0
2024-07-01,La Palma,11885.0
2024-08-01,La Palma,13728.0
2024-09-01,La Palma,9863.0
2024-10-01,La Palma,11973.0
2024-11-01,La Palma,18831.0
2024-12-01,La Palma,16969.0
2025-01-01,La Palma,20308.0
2025-02-01,La Palma,17302.0
2025-03-01,La Palma,19707.0
2025-04-01,La Palma,14579.0
2025-05-01,La Palma,13645.0
2025-06-01,La Palma,10431.0
2025-07-01,La Palma,14011.0
2025-08-01,La Palma,17909.0
2025-09-01,La Palma,15256.0
2025-10-01,La Palma,15246.0
2025-11-01,La Palma,22797.0
2025-12-01,La Palma,21009.0
2026-01-01,La Palma,21817.0
2026-02-01,La Palma,19228.0
2026-03-01,La Palma,19575.0
2026-04-01,La Palma,18830.0
2026-05-01,La Palma,15528.0
2010-01-01,Lanzarote,139185.0
2010-02-01,Lanzarote,148227.0
2010-03-01,Lanzarote,170941.0
2010-04-01,Lanzarote,127111.0
2010-05-01,Lanzarote,129898.0
2010-06-01,Lanzarote,141583.0
2010-07-01,Lanzarote,190277.0
2010-08-01,Lanzarote,209626.0
2010-09-01,Lanzarote,168532.0
2010-10-01,Lanzarote,168872.0
2010-11-01,Lanzarote,152304.0
2010-12-01,Lanzarote,142766.0
2011-01-01,Lanzarote,154899.0
2011-02-01,Lanzarote,163370.0
2011-03-01,Lanzarote,198600.0
2011-04-01,Lanzarote,187759.0
2011-05-01,Lanzarote,153471.0
2011-06-01,Lanzarote,164330.0
2011-07-01,Lanzarote,198214.0
2011-08-01,Lanzarote,212565.0
2011-09-01,Lanzarote,187180.0
2011-10-01,Lanzarote,193989.0
2011-11-01,Lanzarote,157083.0
2011-12-01,Lanzarote,161087.0
2012-01-01,Lanzarote,153318.0
2012-02-01,Lanzarote,158573.0
2012-03-01,Lanzarote,175294.0
2012-04-01,Lanzarote,161879.0
2012-05-01,Lanzarote,152526.0
