fecha,isla,adr_eur,revpar_eur,grado_ocupacion,month,quarter,is_high_season,revpar_eur_lag_1,revpar_eur_lag_3,revpar_eur_lag_12,revpar_eur_rolling_mean_3,revpar_eur_rolling_mean_12,revpar_eur_yoy_growth
2021-05-01,El Hierro,70.71,35.45,0.5013435157686326,5,2,0,26.18,16.9,43.96,25.12333333333333,34.8225,-0.19358507734303906
2021-06-01,El Hierro,71.35,45.17,0.6330763840224247,6,2,0,35.45,32.29,19.3,31.30666666666667,34.11333333333334,1.3404145077720206
2021-07-01,El Hierro,89.92,66.2,0.7362099644128114,7,3,0,45.17,26.18,52.93,35.6,36.26916666666667,0.25070848290194603
2021-08-01,El Hierro,102.93,80.85,0.785485281259108,8,3,1,66.2,35.45,68.42,48.94,37.375,0.18167202572347255
2021-09-01,El Hierro,83.17,67.14,0.8072622339785981,9,3,1,80.85,45.17,45.31,64.07333333333332,38.410833333333336,0.4817920988744206
2021-10-01,El Hierro,98.59,64.75,0.6567603205193224,10,4,0,67.14,66.2,39.2,71.39666666666666,40.23,0.6517857142857142
2021-11-01,El Hierro,92.2,57.76,0.62646420824295,11,4,1,64.75,80.85,28.84,70.91333333333333,42.35916666666667,1.0027739251040222
2021-12-01,El Hierro,75.13,42.49,0.5655530413949156,12,4,0,57.76,67.14,26.2,63.21666666666666,44.76916666666667,0.6217557251908398
2022-01-01,El Hierro,96.97,46.1,0.4754047643601114,1,1,1,42.49,64.75,18.34,55.0,46.126666666666665,1.5136314067611778
2022-02-01,El Hierro,78.99,42.41,0.5369034054943663,2,1,1,46.1,57.76,16.9,48.78333333333333,48.44,1.5094674556213017
2022-03-01,El Hierro,87.83,49.83,0.5673460093362177,3,1,1,42.41,42.49,32.29,43.666666666666664,50.56583333333333,0.5432022297925054
2022-04-01,El Hierro,86.05,42.96,0.4992446252178966,4,2,0,49.83,46.1,26.18,46.11333333333332,52.0275,0.6409472880061116
2022-05-01,El Hierro,79.87,39.88,0.4993113809941154,5,2,0,42.96,42.41,35.45,45.06666666666666,53.42583333333334,0.1249647390691114
2022-06-01,El Hierro,74.75,37.69,0.5042140468227424,6,2,0,39.88,49.83,45.17,44.22333333333333,53.79500000000001,-0.16559663493469126
2022-07-01,El Hierro,84.14,50.7,0.6025671499881151,7,3,0,37.69,42.96,66.2,40.176666666666655,53.17166666666666,-0.23413897280966767
2022-08-01,El Hierro,94.21,69.31,0.7356968474684217,8,3,1,50.7,39.88,80.85,42.75666666666666,51.879999999999995,-0.14273345701917123
2022-09-01,El Hierro,74.78,46.76,0.6253008825889275,9,3,1,69.31,37.69,67.14,52.56666666666666,50.91833333333333,-0.30354483169496577
2022-10-01,El Hierro,76.28,45.06,0.5907184058730991,10,4,0,46.76,50.7,64.75,55.589999999999996,49.220000000000006,-0.30409266409266406
2022-11-01,El Hierro,80.8,52.92,0.654950495049505,11,4,1,45.06,69.31,57.76,53.70999999999999,47.57916666666667,-0.08379501385041545
2022-12-01,El Hierro,91.17,43.52,0.4773500054842602,12,4,0,52.92,46.76,42.49,48.24666666666666,47.17583333333334,0.02424099788185458
2023-01-01,El Hierro,87.62,36.29,0.4141748459255877,1,1,1,43.52,45.06,46.1,47.166666666666664,47.26166666666668,-0.21279826464208249
2023-02-01,El Hierro,62.05,35.12,0.5659951651893634,2,1,1,36.29,52.92,42.41,44.24333333333333,46.44416666666667,-0.1718934213628861
2023-03-01,El Hierro,51.55,28.22,0.5474296799224054,3,1,1,35.12,43.52,49.83,38.30999999999999,45.83666666666667,-0.4336744932771423
2023-04-01,El Hierro,57.24,32.79,0.5728511530398323,4,2,0,28.22,36.29,42.96,33.20999999999999,44.035833333333336,-0.23673184357541904
2023-05-01,El Hierro,72.19,26.27,0.363900817287713,5,2,0,32.79,35.12,39.88,32.04333333333332,43.18833333333333,-0.3412738214643932
2023-06-01,El Hierro,67.47,30.15,0.4468652734548688,6,2,0,26.27,28.22,37.69,29.093333333333323,42.05416666666667,-0.2000530644733351
2023-07-01,El Hierro,79.33,44.71,0.5635951090381949,7,3,0,30.15,32.79,50.7,29.736666666666654,41.42583333333334,-0.1181459566074951
2023-08-01,El Hierro,87.5,54.94,0.6278857142857143,8,3,1,44.71,26.27,69.31,33.70999999999999,40.92666666666667,-0.20732938969845627
2023-09-01,El Hierro,81.89,51.03,0.6231530101355477,9,3,1,54.94,30.15,46.76,43.26666666666666,39.729166666666664,0.09131736526946115
2023-10-01,El Hierro,69.13,40.01,0.5787646463185303,10,4,0,51.03,44.71,45.06,50.22666666666666,40.085,-0.1120727918331115
2023-11-01,El Hierro,72.31,46.2,0.6389157792836399,11,4,1,40.01,54.94,52.92,48.65999999999999,39.66416666666667,-0.12698412698412695
2023-12-01,El Hierro,72.85,35.78,0.4911461908030199,12,4,0,46.2,51.03,43.52,45.74666666666666,39.104166666666664,-0.1778492647058824
2024-01-01,El Hierro,79.44,37.9,0.4770896273917422,1,1,1,35.78,40.01,36.29,40.66333333333333,38.45916666666667,0.044364838798567084
2024-02-01,El Hierro,83.6,43.8,0.5239234449760766,2,1,1,37.9,46.2,35.12,39.96,38.593333333333334,0.24715261958997722
2024-03-01,El Hierro,74.9,47.54,0.634712950600801,3,1,1,43.8,35.78,28.22,39.15999999999999,39.31666666666666,0.6846208362863218
2024-04-01,El Hierro,77.31,38.36,0.4961841935066615,4,2,0,47.54,37.9,32.79,43.079999999999984,40.92666666666667,0.16986886245806648
2024-05-01,El Hierro,72.82,33.46,0.4594891513320517,5,2,0,38.36,43.8,26.27,43.23333333333333,41.39083333333333,0.2736962314427104
2024-06-01,El Hierro,76.88,31.82,0.413891779396462,6,2,0,33.46,47.54,30.15,39.78666666666666,41.99,0.0553897180762853
2024-07-01,El Hierro,76.28,44.25,0.5800996329313057,7,3,0,31.82,38.36,44.71,34.54666666666666,42.12916666666666,-0.010288526056810576
2024-08-01,El Hierro,90.7,60.24,0.664167585446527,8,3,1,44.25,33.46,54.94,36.50999999999999,42.09083333333333,0.09646887513651264
2024-09-01,El Hierro,85.26,52.66,0.6176401595120806,9,3,1,60.24,31.82,51.03,45.43666666666666,42.5325,0.03194199490495778
2024-10-01,El Hierro,77.25,50.5,0.6537216828478964,10,4,0,52.66,44.25,40.01,52.383333333333326,42.66833333333333,0.26218445388652845
2024-11-01,El Hierro,84.53,56.0,0.6624866911155802,11,4,1,50.5,60.24,46.2,54.46666666666666,43.5425,0.21212121212121204
2024-12-01,El Hierro,88.82,41.99,0.4727538842603018,12,4,0,56.0,52.66,35.78,53.05333333333332,44.35916666666666,0.17356064840693128
2025-01-01,El Hierro,91.31,54.57,0.5976344321542,1,1,1,41.99,50.5,37.9,49.49666666666666,44.876666666666665,0.43984168865435364
